key,scientificName,longitude,latitude,coordinateUncertaintyInMeters,eventDate,year,source,dataset,URL
OBI161591,Baccharis pilularis ssp. pilularis,-120.473074,34.504951,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3676991
OBI161618,Cirsium rhothophilum,-120.46818,34.452423,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630606
OBI166782,Acmispon glaber var. glaber,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630598
OBI166796,Acmispon brachycarpus,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630599
OBI161661,Cryptantha muricata var. jonesii,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630600
OBI161662,Crassula connata,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630602
OBI161691,Cortaderia jubata,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630604
OBI161692,Calamagrostis rubescens,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630605
OBI158800,Arctostaphylos purissima ssp. globosa,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=4451704
UCSB062657,Juncus bufonius var. bufonius,-120.400783,34.529149,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297559
UCSB062688,Stebbinsoseris heterocarpa,-120.400783,34.529149,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297581
UCSB062687,Pteridium aquilinum var. pubescens,-120.400783,34.529149,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297582
UCSB062693,Carex globosa,-120.400783,34.529149,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297591
SDSU22455,Ranunculus californicus,-120.461236,34.501264,3989,2019-05-09,2019,CalFlora,SDSU Herbarium,https://www.cch2.org/portal/collections/individual/index.php?occid=3033092
SJSUC11548,Grimmia trichophylla,-120.4742,34.50473,3989,2019-05-09,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631053
SJSUC11233,Funaria hygrometrica,-120.47396,34.50534,3989,2019-05-09,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631054
SJSUC10831,Rosulabryum torquescens,-120.47396,34.50534,3989,2019-05-09,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631055
SJSUC10836,Rosulabryum torquescens,-120.47396,34.50534,3989,2019-05-09,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631057
SDSU22459,Gamochaeta ustulata,-120.47318,34.50479,3989,2019-05-09,2019,CalFlora,SDSU Herbarium,https://www.cch2.org/portal/collections/individual/index.php?occid=3033087
SDSU22460,Lupinus longifolius,-120.47318,34.50479,3989,2019-05-09,2019,CalFlora,SDSU Herbarium,https://www.cch2.org/portal/collections/individual/index.php?occid=3033088
